종목코드,종목명,종가,대비,등락률,상장시가총액
"000140","하이트진로홀딩스","12500","200","1.63","290085.0"
"000180","성창기업지주","2370","40","1.72","165311.0"
"000220","유유제약","8010","1250","18.49","138031.0"
"000230","일동홀딩스","13950","100","0.72","160989.0"
"000300","대유플러스","1350","35","2.66","163348.0"
"000320","노루홀딩스","12050","250","2.12","160158.0"
"000390","삼화페인트","8750","280","3.31","238030.0"
"000430","대원강업","3700","5","0.14","229400.0"
"000490","대동","9480","110","1.17","224943.0"
"000540","흥국화재","3690","125","3.51","237055.0"
"000680","LS네트웍스","2960","60","2.07","233257.0"
"000700","유수홀딩스","6120","80","1.32","159376.0"
"000860","강남제비스코","22050","400","1.85","143325.0"
"000890","보해양조","887","4","0.45","122419.0"
"000970","한국주철관","8790","100","1.15","200416.0"
"001070","대한방직","46400","100","0.22","245920.0"
"001130","대한제분","153000","3500","2.34","258570.0"
"001250","GS글로벌","2270","15","0.67","187352.0"
"001260","남광토건","12200","350","2.95","119913.0"
"001270","부국증권","24400","150","0.62","253025.0"
"001290","상상인증권","1130","10","0.89","110182.0"
"001340","백광산업","5410","90","1.69","243009.0"
"001460","BYC","437500","20000","4.79","273269.0"
"001470","삼부토건","2190","145","7.09","301248.0"
"001550","조비","20850","600","2.96","108258.0"
"001570","금양","4775","35","0.74","233049.0"
"001750","한양증권","15300","400","2.68","194747.0"
"001780","알루코","3370","20","0.60","302596.0"
"001790","대한제당","3120","-5","-0.16","279853.0"
"001940","KISCO홀딩스","15050","500","3.44","278070.0"
"002030","아세아","126000","2000","1.61","276069.0"
"002100","경농","11500","350","3.14","224510.0"
"002150","도화엔지니어링","7610","130","1.74","256609.0"
"025000","KPX케미칼","54700","700","1.30","264748.0"
"004980","성신양회","11600","400","3.57","284386.0"
"005010","휴스틸","14950","200","1.36","117172.0"
"005320","국동","2650","50","1.92","144167.0"
"005430","한국공항","41850","850","2.07","132512.0"
"005680","삼영전자","10850","150","1.40","217000.0"
"005720","넥센","4605","55","1.21","246570.0"
"005740","크라운해태홀딩스","8340","170","2.08","123827.0"
"005750","대림B&Co","7190","-10","-0.14","119873.0"
"005810","풍산홀딩스","28250","550","1.99","294069.0"
"006110","삼아알미늄","27400","300","1.11","301400.0"
"006220","제주은행","5390","100","1.89","173174.0"
"006340","대원전선","1680","10","0.60","119309.0"
"006370","대구백화점","10200","200","2.00","110380.0"
"006380","카프로","3900","40","1.04","156000.0"
"006660","삼성공조","15950","650","4.25","129615.0"
"006740","영풍제지","7100","-170","-2.34","157620.0"
"006840","AK홀딩스","20450","1050","5.41","270913.0"
"006890","태경케미컬","12300","250","2.07","142680.0"
"007110","일신석재","2260","80","3.67","175052.0"
"007160","사조산업","45250","1350","3.08","226250.0"
"007210","벽산","3210","45","1.42","220078.0"
"007280","한국특강","2930","25","0.86","156000.0"
"007460","에이프로젠 MED","1505","50","3.44","299729.0"
"007540","샘표","40650","1000","2.52","116901.0"
"007660","이수페타시스","5000","-130","-2.53","316232.0"
"007860","서연","12700","500","4.10","298194.0"
"007980","태평양물산","2380","135","6.01","114596.0"
"008040","사조동아원","1115","20","1.83","157376.0"
"008060","대덕","7450","90","1.22","252482.0"
"008250","이건산업","11800","400","3.51","129241.0"
"008350","남선알미늄","2535","75","3.05","279304.0"
"008600","윌비스","1665","80","5.05","109510.0"
"008700","아남전자","2290","30","1.33","176616.0"
"008970","동양철관","1290","50","4.03","153362.0"
"009070","KCTC","5880","60","1.03","176400.0"
"009180","한솔로지스틱스","3920","30","0.77","107712.0"
"009190","대양금속","4880","265","5.74","153987.0"
"009270","신원","2740","135","5.18","261859.0"
"009320","대우부품","2425","10","0.41","115542.0"
"009460","한창제지","2040","0","0.00","121722.0"
"009470","삼화전기","30400","450","1.50","201060.0"
"009580","무림P&P","4205","255","6.46","262259.0"
"009810","플레이그램","2365","160","7.26","212181.0"
"002390","한독","22100","350","1.61","304174.0"
"002410","범양건영","6390","50","0.79","158676.0"
"002450","삼익악기","1755","15","0.86","158882.0"
"002460","화성산업","11700","150","1.30","145674.0"
"002600","조흥","189000","3500","1.89","113400.0"
"002620","제일파마홀딩스","15450","350","2.32","246788.0"
"002630","오리엔트바이오","1205","10","0.84","142893.0"
"002700","신일전자","2015","5","0.25","143161.0"
"002710","TCC스틸","6980","230","3.41","164030.0"
"002760","보락","1975","40","2.07","118303.0"
"002780","진흥기업","2085","50","2.46","303309.0"
